source	ext_id	title	pub_year	journal	authors	citation_type	direction	n_seeds	seed_record_ids	dedup_status	matched_record_id	pcc_gu	pcc_ai	pcc_pass
MED	29772101	Computer-aided diagnosis of prostate cancer on magnetic resonance imaging using a convolutional neural network algorithm.	2018	BJU Int	Ishioka J, Matsuoka Y, Uehara S, Yasuda Y, Kijima T, Yoshida S, Yokoyama M, Saito K, Kihara K, Numao N, Kimura T, Kudo K, Kumazawa I, Fujii Y.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000194	new		yes	yes	yes
		H&E-stained whole slide image deep learning predicts SPOP mutation state in prostate cancer	2018	bioRxiv	Schaumberg		backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	30169514	Identifying the morphologic basis for radiomic features in distinguishing different Gleason grades of prostate cancer on MRI: Preliminary findings.	2018	PLoS One	Penzias G, Singanamalli A, Elliott R, Gollamudi J, Shih N, Feldman M, Stricker PD, Delprado W, Tiwari S, Bohm M, Haynes AM, Ponsky L, Fu P, Tiwari P, Viswanath S, Madabhushi A.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000148	new		yes	yes	yes
MED	30332595	Prediction of prostate cancer by deep learning with multilayer artificial neural network.	2018	Can Urol Assoc J	Takeuchi T, Hattori-Kato M, Okuno Y, Iwai S, Mikami K.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	30840728	Prostate cancer detection from multi-institution multiparametric MRIs using deep convolutional neural networks.	2018	J Med Imaging (Bellingham)	Sumathipala Y, Lay N, Turkbey B, Smith C, Choyke PL, Summers RM.	research-article; journal article	forward	1	REC-AIBIOGU-000201	new		yes	yes	yes
MED	29908785	Radio-pathomic Maps of Epithelium and Lumen Density Predict the Location of High-Grade Prostate Cancer.	2018	Int J Radiat Oncol Biol Phys	McGarry SD, Hurrell SL, Iczkowski KA, Hall W, Kaczmarowski AL, Banerjee A, Keuter T, Jacobsohn K, Bukowy JD, Nevalainen MT, Hohenwalter MD, See WA, LaViolette PS.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	new		yes	yes	yes
MED	29861410	RankProd Combined with Genetic Algorithm Optimized Artificial Neural Network Establishes a Diagnostic and Prognostic Prediction Model that Revealed C1QTNF3 as a Biomarker for Prostate Cancer.	2018	EBioMedicine	Hou Q, Bing ZT, Hu C, Li MY, Yang KH, Mo Z, Xie XW, Liao JL, Lu Y, Horie S, Lou MW.	meta-analysis; research-article; journal article	forward	1	REC-AIBIOGU-000201	new		yes	yes	yes
MED	31092914	A new era: artificial intelligence and machine learning in prostate cancer.	2019	Nat Rev Urol	Goldenberg SL, Nir G, Salcudean SE.	JOURNAL ARTICLE	backward	2	REC-AIBIOGU-000194;REC-AIBIOGU-000569	new		yes	yes	yes
MED	31063138	Artificial intelligence at the intersection of pathology and radiology in prostate cancer.	2019	Diagn Interv Radiol	Harmon SA, Tuncer S, Sanford T, Choyke PL, Turkbey B.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000194	new		yes	yes	yes
MED	30914794	Automated tumour budding quantification by machine learning augments TNM staging in muscle-invasive bladder cancer prognosis.	2019	Sci Rep	Brieu N, Gavriel CG, Nearchou IP, Harrison DJ, Schmidt G, Caie PD.	JOURNAL ARTICLE	both	2	REC-AIBIOGU-000199;REC-AIBIOGU-000623	new		yes	yes	yes
MED	30919041	CT-based machine learning model to predict the Fuhrman nuclear grade of clear cell renal cell carcinoma.	2019	Abdom Radiol (NY)	Lin F, Cui EM, Lei Y, Luo LP.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	31756634	Clear cell renal cell carcinoma: Machine learning-based computed tomography radiomics analysis for the prediction of WHO/ISUP grade.	2019	Eur J Radiol	Shu J, Wen D, Xi Y, Xia Y, Cai Z, Xu W, Meng X, Liu B, Yin H.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000372	new		yes	yes	yes
MED	31238766	Combination possibility and deep learning model as clinical decision-aided approach for prostate cancer.	2019	Health Informatics J	Eminaga O, Al-Hamad O, Boegemann M, Breil B, Semjonow A.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000194	new		yes	yes	yes
MED	30848813	Comparison of Artificial Intelligence Techniques to Evaluate Performance of a Classifier for Automatic Grading of Prostate Cancer From Digitized Histopathologic Images.	2019	JAMA Netw Open	Nir G, Karimi D, Goldenberg SL, Fazli L, Skinnider BF, Tavassoli P, Turbin D, Villamil CF, Wang G, Thompson DJS, Black PC, Salcudean SE.	JOURNAL ARTICLE	backward	2	REC-AIBIOGU-000194;REC-AIBIOGU-000623	new		yes	yes	yes
MED	31557788	Connecting Histopathology Imaging and Proteomics in Kidney Cancer through Machine Learning.	2019	J Clin Med	Azuaje F, Kim SY, Perez Hernandez D, Perez Hernandez D, Dittmar G.	research-article; journal article	forward	2	REC-AIBIOGU-000563;REC-AIBIOGU-000564	new		yes	yes	yes
